interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
0.00;100.00;reporte_densidad_final;0;0;0;1223695894;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223987566#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223987566#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223987567;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223987568;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223999764;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223999765#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223999765#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1225793910;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1225795049;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227058160#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227058161;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227058163#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227058163#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227058164#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227058166#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227058166#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227058167#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227058167#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227058168#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227058169;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227058170;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227058171;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227543318;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1227543320;0;0;0;0.00
